Latitude (decimal degrees):	48.582
Longitude (decimal degrees):	7.769
Radiation database:	PVGIS-SARAH

Results for:	April
Slope of plane (deg.):	35
Azimuth (orientation) of plane (deg.):	0
time(UTC)		G(i)		Gb(i)		Gd(i)
00:00		0.0		0.0		0.0
01:00		0.0		0.0		0.0
02:00		0.0		0.0		0.0
03:00		0.0		0.0		0.0
04:00		0.0		0.0		0.0
05:00		15.0		0.0		14.69
06:00		117.94		47.91		67.68
07:00		264.63		137.57		122.52
08:00		425.11		253.4		164.93
09:00		551.89		340.56		202.79
10:00		632.65		399.42		223.61
11:00		671.0		426.6		234.24
12:00		642.25		392.95		239.5
13:00		599.26		366.27		223.79
14:00		480.56		274.01		198.96
15:00		356.21		195.83		154.55
16:00		209.58		98.9		106.94
17:00		73.41		22.0		49.77
18:00		2.11		0.0		2.07
19:00		0.0		0.0		0.0
20:00		0.0		0.0		0.0
21:00		0.0		0.0		0.0
22:00		0.0		0.0		0.0
23:00		0.0		0.0		0.0

G(i):  Global irradiance on a fixed plane (W/m2)
Gb(i): Direct irradiance on a fixed plane (W/m2)
Gd(i): Diffuse irradiance on a fixed plane (W/m2)

PVGIS (c) European Communities, 2001-2021