Latitude (decimal degrees):	51.034
Longitude (decimal degrees):	2.377
Radiation database:	PVGIS-SARAH
Optimal slope angle (deg.):	39

year		month		H(i_opt)_m
2005		Jan		57.46
2005		Feb		54.38
2005		Mar		87.81
2005		Apr		131.95
2005		May		156.15
2005		Jun		188.0
2005		Jul		144.78
2005		Aug		155.09
2005		Sep		125.23
2005		Oct		99.59
2005		Nov		54.0
2005		Dec		42.98
2006		Jan		49.72
2006		Feb		37.68
2006		Mar		114.16
2006		Apr		139.7
2006		May		133.64
2006		Jun		188.77
2006		Jul		209.43
2006		Aug		114.03
2006		Sep		137.75
2006		Oct		92.57
2006		Nov		59.39
2006		Dec		26.94
2007		Jan		44.3
2007		Feb		49.58
2007		Mar		122.19
2007		Apr		205.71
2007		May		133.29
2007		Jun		127.08
2007		Jul		161.58
2007		Aug		141.61
2007		Sep		116.14
2007		Oct		89.93
2007		Nov		45.89
2007		Dec		52.9
2008		Jan		40.78
2008		Feb		101.79
2008		Mar		93.49
2008		Apr		152.37
2008		May		176.6
2008		Jun		158.61
2008		Jul		151.58
2008		Aug		117.42
2008		Sep		123.15
2008		Oct		91.61
2008		Nov		31.57
2008		Dec		44.43
2009		Jan		55.68
2009		Feb		57.85
2009		Mar		133.52
2009		Apr		149.45
2009		May		158.38
2009		Jun		174.24
2009		Jul		173.96
2009		Aug		173.16
2009		Sep		143.47
2009		Oct		80.63
2009		Nov		50.67
2009		Dec		42.0
2010		Jan		40.93
2010		Feb		44.3
2010		Mar		119.12
2010		Apr		190.76
2010		May		159.65
2010		Jun		169.56
2010		Jul		179.9
2010		Aug		128.75
2010		Sep		130.07
2010		Oct		93.29
2010		Nov		41.15
2010		Dec		32.86
2011		Jan		48.74
2011		Feb		44.07
2011		Mar		138.19
2011		Apr		178.63
2011		May		189.94
2011		Jun		155.67
2011		Jul		148.99
2011		Aug		138.57
2011		Sep		128.73
2011		Oct		113.92
2011		Nov		54.21
2011		Dec		49.41
2012		Jan		45.17
2012		Feb		66.18
2012		Mar		126.08
2012		Apr		124.64
2012		May		141.17
2012		Jun		153.55
2012		Jul		155.38
2012		Aug		156.53
2012		Sep		132.59
2012		Oct		75.25
2012		Nov		45.1
2012		Dec		37.33
2013		Jan		26.01
2013		Feb		52.58
2013		Mar		86.8
2013		Apr		143.53
2013		May		133.75
2013		Jun		136.55
2013		Jul		174.32
2013		Aug		166.63
2013		Sep		124.04
2013		Oct		71.8
2013		Nov		41.7
2013		Dec		50.71
2014		Jan		53.42
2014		Feb		74.34
2014		Mar		148.33
2014		Apr		151.33
2014		May		156.55
2014		Jun		172.7
2014		Jul		149.41
2014		Aug		147.27
2014		Sep		125.09
2014		Oct		82.6
2014		Nov		63.76
2014		Dec		44.91
2015		Jan		54.42
2015		Feb		72.86
2015		Mar		115.37
2015		Apr		169.25
2015		May		164.87
2015		Jun		189.17
2015		Jul		149.26
2015		Aug		145.99
2015		Sep		125.31
2015		Oct		83.92
2015		Nov		37.34
2015		Dec		39.74
2016		Jan		44.9
2016		Feb		70.0
2016		Mar		116.61
2016		Apr		145.88
2016		May		170.61
2016		Jun		147.13
2016		Jul		175.37
2016		Aug		178.75
2016		Sep		127.91
2016		Oct		96.43
2016		Nov		63.75
2016		Dec		44.64

H(i_opt)_m: Irradiation on optimally inclined plane (kWh/m2/mo)

PVGIS (c) European Communities, 2001-2021